전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
97.6,81.73,79.1,3.2,0.02,14.65,16.82,32.33,5.4,5.69,5.76,0.14,0.16,0.33,0.43,931384,5.3,1.2,5.4,-2.4,2.3,1,2.4,33.5,33.5,454.3,796.8,439.5,739.6,1743.6
102.5,81.95,75.7,3.2,0.03,13.6,18.78,25.78,5.58,5.79,5.91,0.24,0.11,0.45,0.56,990436,5.21,1.2,-5.6,-2.4,2.3,0.3,2.4,33.5,31.7,451.3,787.4,413.8,731,1933.3
111.8,82.06,73.2,3.3,0.04,19.18,13.26,34.05,5.71,5.8,5.92,-0.04,-0.01,0.49,0.62,988780,4.95,1.2,-5.6,-2.4,2.3,0.3,2.4,33.5,31.7,476.1,832.6,418.3,773.6,1873.2
116.3,82.29,74.8,3.1,0.03,4.98,9.16,32.76,5.07,6.28,6.43,-0.39,0.17,0.66,0.78,993087,4.56,1.2,-5.6,-0.3,3.9,0.3,2.7,33.4,31.7,503.3,806,438.7,870.4,1946.5
112.4,82.54,82.8,3,0.03,17.01,9.69,25.13,4.94,6.55,6.77,-0.1,0.29,1.03,1.16,1233324,4.08,1.5,10.5,-0.3,3.9,2.9,2.7,33.4,33,565.7,882.1,515.5,1007.8,2064.9
103.4,83.17,91.4,3,0.02,20.13,8.91,31.39,5.12,5.32,5.45,-0.25,0.17,0.41,1.12,1050796,3.53,1.5,10.5,-0.3,3.9,2.9,2.7,33.4,33,516.4,889.5,476.3,921.7,1906
103,83.9,75,3,0.03,14.89,6.58,29.21,4.99,5.27,5.46,-0.4,0.15,0.49,0.78,897797,2.91,1.5,10.5,5.3,1.8,2.9,1.9,32.9,33,536.2,982.6,494.9,874.9,1897.1
94.8,84.41,67.4,3.1,0.06,21.86,3.16,27.05,5.24,5.58,5.78,0.18,0.46,0.68,0.86,942438,2.24,0.8,-2.5,5.3,1.8,-0.6,1.9,32.9,32.8,541.3,1126.1,459.3,901.1,1624.7
102.1,84.92,50.7,3.2,0.04,21.02,16.09,22.04,5.63,5.35,5.47,0.61,0.42,0.59,0.9,1012662,1.56,0.8,-2.5,5.3,1.8,-0.6,1.9,32.9,32.8,596,1210.3,512.7,933.8,1711.6
98.1,85.25,47,3.1,0.03,26.4,-6.62,23.06,5.86,5.91,6.05,0.18,0.06,0.59,0.89,921695,0.87,0.8,-2.5,-5.1,-0.2,-0.6,3.6,32.9,32.8,548.9,1067.6,485.2,887.5,1704
104.7,85.42,57.3,3.2,0.02,32.52,4.24,25.15,5.87,6.35,6.52,0.07,0.09,0.62,0.9,1048171,0.2,0.4,-1.1,-5.1,-0.2,-0.3,3.6,32.9,34.2,516.5,996.5,451.1,744.7,1825.5
95.3,85.62,61.6,3.3,0.02,19.08,-0.65,23.82,5.92,6.58,6.87,-0.08,-0.06,1.07,1.24,1072992,-0.39,0.4,-1.1,-5.1,-0.2,-0.3,3.6,32.9,34.2,452.4,873.6,378.3,646.1,1852
83.2,85.57,57.8,3.2,0.02,24.75,-5.82,25.66,5.48,6.8,7.14,-1.26,0.01,1.37,1.62,737554,-0.84,0.4,-1.1,-0.6,2.4,-0.3,3,32.4,34.2,369.6,588.7,266.4,519.5,1674.9
80.8,85.23,36.9,3.2,0.03,25.98,-13.25,36.78,5.15,6.86,7.54,-0.41,0.6,1.8,2.13,845204,-1.09,0.8,-1.2,-0.6,2.4,0.2,3,32.4,36.7,361.7,487.1,257.3,562.6,1594.7
